,artist,song
13428205,Teyana Taylor,3Way
13428206,6LACK,Switch
13428207,PRETTYMUCH,Summer on You
13428214,Rick Ross,Green Gucci Suit (feat. Future)
13428216,The Carters,NICE
13428217,Teyana Taylor,Never Would Have Made It
13428218,Paul McCartney,Come On To Me
13428219,Gryffin,Just For A Moment (feat. Iselin)
13428220,The Carters,LOVEHAPPY
13428222,Florence + The Machine,Big God
13428223,"Loud Luxury, Brando",Body
13428227,"Cardi B, Bad Bunny, J Balvin",I Like It - Dillon Francis Remix
12934213,"Drake, Michael Jackson",Don’t Matter To Me
12934228,Lee Greenwood,God Bless The U.S.A.
12934229,"Arcangel, Bad Bunny",Original
12934233,"Drake, Static Major, Ty Dolla $ign",After Dark
12934234,Mitski,Nobody
12934236,Big Pineapple,Another Chance (Don Diablo Edit)
12934237,"Drake, JAY-Z",Talk Up
12934238,St. Paul & The Broken Bones,Apollo - Radio Edit
12934239,Hillsong Young & Free,Every Little Thing
12934240,Drake,Can’t Take A Joke
12934242,Drake,That’s How You Feel
12934245,OneRepublic,Connection
12934250,"Nicky Jam, J Balvin",X (feat. Maluma & Ozuna) - Remix
12934251,Drake,Sandra’s Rose
12934255,Filmore,Love That About You
12934256,¿Téo?,Américano
12934259,MAX,Still New York (feat. Joey Bada$$)
13081533,"Baddiel, Skinner & Lightning Seeds",Three Lions
13081534,Big Red Machine,Gratitude
13081535,BROCKHAMPTON,1999 WILDFIRE
13081537,"GAWVI, Lecrae",Fight for Me
13081539,A R I Z O N A,Freaking Out
13081548,Meek Mill,Millidelphia (feat. Swizz Beatz)
13081549,Dan + Shay,Tequila - R3HAB Remix
13081550,Max George,Barcelona
13081554,"Lil Yachty, Cardi B, Offset",Who Want The Smoke?
13081556,"SG Lewis, Clairo",Better
13081557,Meek Mill,Dangerous (feat. Jeremih and PnB Rock)
13081559,Ella Mai,Boo'd Up (with Nicki Minaj & Quavo) - Remix
13081560,Justin Timberlake,SoulMate
13081561,"Dynoro, Gigi D'Agostino",In My Mind
13081566,Christine and the Queens,Doesn't matter
13081574,A R I Z O N A,Summer Days
13081575,High N Wild,This Time
13081576,Street Rappers,Estamos Bien
13081577,Why Don't We,Talk
13081578,"Zonderling, Don Diablo",No Good
13081579,Sylo Nozra,je t'adore (feat. Ty Senoj)
13081580,Future,WIFI LIT
13081581,YK Osiris,Timing
13270525,benny blanco,Eastside (with Halsey & Khalid)
13270526,Lil Duval,"Smile (Living My Best Life) (feat. Snoop Dogg, Ball Greezy & Midnight Star)"
13265972,"Lily James, Jessica Keenan Wynn, Alexa Davies, Celia Imrie",When I Kissed The Teacher
13265973,"Hugh Skinner, Lily James","Waterloo - From ""Mamma Mia! Here We Go Again"""
13265974,Buddy,Trippin' (feat. Khalid)
13265976,"Lily James, Jessica Keenan Wynn, Alexa Davies",Mamma Mia
13265980,"MØ, Diplo",Sun In Our Eyes
13265981,Louis The Child,The City (with Quinn XCII)
13265983,Anderson .Paak,Bubblin (feat. Busta Rhymes) - Remix
13265985,"Josh Dylan, Lily James, Hugh Skinner",Why Did It Have To Be Me?
13265987,"Kim Viera, Daddy Yankee",Como
13265988,Galantis,Satisfied (feat. MAX)
13265991,NEEDTOBREATHE,Forever on Your Side (with JOHNNYSWIM)
13265996,"Getter, nothing,nowhere.",All Is Lost
13265997,ROSALÍA,MALAMENTE - Cap.1: Augurio
13265998,Wiz Khalifa,Fr Fr (feat. Lil Skies)
13266000,"deadmau5, Rob Swire",Monophobia
13266012,Twenty One Pilots,Nico And The Niners
13444549,6ix9ine,FEFE (feat. Nicki Minaj & Murda Beatz)
13444553,Chance the Rapper,I Might Need Security
13444661,Pink Sweat$,Honesty
13444664,"Excision, ILLENIUM, Shallows",Gold (Stupid Love)
13444665,The 1975,Love It If We Made It
13444666,LANY,Thru These Tears
13444669,"88rising, Joji, BlocBoy JB",Peach Jam
13444670,Willy William,La La La
13444671,Greta Van Fleet,When The Curtain Falls
13444673,"Zedd, Elley Duhé",Happy Now
13444675,Death Cab for Cutie,I Dreamt We Spoke Again
13444677,"Kodie Shane, Trippie Redd",Love & Drugz II
13444680,Chance the Rapper,65th & Ingleside
13444681,"88rising, Rich Brian",History
13444683,Lily James,"Andante, Andante"
13444685,"Massari, Afrojack, Beenie Man",Tune In
13444688,DaniLeigh,Lil Bebe
13444689,"alt-J, The Alchemist",Deadcrush (feat. Danny Brown) - Alchemist x Trooko Version
13444690,"Andy Mineo, Lecrae",Coming In Hot
13444691,"88rising, Joji",Head In The Clouds
13444692,Chance the Rapper,Work Out
13444693,"KB, Yariel, GabrielRodriguezEMC",Long Live the Champion
13444694,"Silk City, Diplo, Mark Ronson",Feel About You (feat. Mapei)
13444695,Becky G,Zooted (feat. French Montana & Farruko)
13444698,070 Shake,Accusations
13444700,Kirko Bangz,Work Sumn (feat. Tory Lanez and Jacquees)
13013050,"DJ Khaled, Justin Bieber, Quavo, Chance the Rapper",No Brainer
13013108,"DJ Durel, Migos",Hot Summer
13013110,AGNEZ MO,Overdose (feat. Chris Brown)
13013112,"RL Grime, Miguel, Julia Michaels",Light Me Up
13013116,Martin Garrix,High On Life (feat. Bonn)
13013117,Leon Bridges,Pony - Recorded at Spotify Studios NYC
13013120,Jungle,"Heavy, California"
13013121,"Bryant Myers, Bad Bunny",Triste
13013122,Logic,One Day (feat. Ryan Tedder)
13013124,Zhavia Ward,Candlelight
13013125,"The Blancos, Joyner Lucas",We’re Tired
13013126,Alvaro Soler,La Cintura (feat. Flo Rida & TINI) - Remix
13013127,IDER,You've Got Your Whole Life Ahead Of You Baby
13013128,K'ron,No BFs (feat. Ty Dolla $ign)
13013130,David Guetta,Don't Leave Me Alone (feat. Anne-Marie)
13013131,Maggie Rogers,Give A Little
13013132,"KAROL G, J Balvin, Nicky Jam",Mi Cama - Remix
13013133,Mac Miller,What's the Use?
13013135,Blood Orange,Charcoal Baby
13013136,Alec Benjamin,If We Have Each Other
13013144,Tinashe,Throw A Fit
13013145,BROCKHAMPTON,1997 DIANA
13013146,"Alan Walker, Au/Ra, Tomine Harket",Darkside
13013152,Denzel Curry,BLACK BALLOONS | 13LACK 13ALLOONZ [FEAT. TWELVE'LEN & GOLDLINK | TWELVE'LEN + GOLDL1NK]
13158823,Travis Scott,SICKO MODE
13158825,Gryffin,Tie Me Down (with Elley Duhé)
13158829,Robyn,Missing U
13158832,DJ Holiday,2 Seater (feat. Quavo & 21 Savage)
13158889,Travis Scott,WAKE UP
13158890,Hunter Hayes,Dear God
13158892,ILLENIUM,Take You Down
13158893,Mac Miller,Ladders
13158894,"Silk City, GoldLink, Desiigner",Loud
13158895,"Cuco, Clairo",Drown
13158900,"Mura Masa, Nao",Complicated
13158902,Jack Harlow,SUNDOWN
13158905,"San Holo, Sofie Winterson",lift me from the ground
13158906,Elevation Worship,Won't Stop Now
13158909,Watsky,Welcome To The Family
13158912,$uicideboy$,Carrollton
13158913,FXXXXY,Need U (with Gunna)
13158914,Phosphorescent,New Birth in New England
13158916,A R I Z O N A,What She Wants
13158920,Loud Luxury,Body (feat. brando)
13158921,"Nicky Jam, Bad Bunny, Arcangel",Satisfacción
13158924,The Revivalists,All My Friends
13317073,Lennon Stella,Like Everybody Else - Acoustic
13317075,Aretha Franklin,I Say a Little Prayer
13317076,Aretha Franklin,(You Make Me Feel Like) A Natural Woman
13317078,Tom Morello,"Rabbit's Revenge (feat. Bassnectar, Big Boi & Killer Mike)"
13317080,"Sia, Diplo, Labrinth, LSD",Thunderclouds
13317081,Nicki Minaj,Majesty (with Labrinth & feat. Eminem)
13317083,RÜFÜS DU SOL,Underwater
13317084,Loren Gray,My Story
13317091,Cody Johnson,On My Way to You
13317092,Old Dominion,Bad At Love - Recorded at Sound Stage Studios Nashville
13317094,J. Cole,Album of the Year - Freestyle
13317095,Aretha Franklin,Day Dreaming
13317096,Aretha Franklin,Chain of Fools
13317098,Aretha Franklin,Respect
13317099,Rusko,High - Bassnectar Remix
13317101,Aretha Franklin,Ain't No Way
13317102,Danny Ocean,Epa Wei
13317103,Aretha Franklin,Think
13317106,"Drako, Lil Baby",Racks on Me
13317107,Aretha Franklin,I Never Loved a Man (The Way I Love You)
13317108,Aretha Franklin,Amazing Grace
13317110,Jubël,Dancing in the Moonlight (feat. NEIMY)
13317111,Broods,Peach
13317112,"George Michael, Aretha Franklin",I Knew You Were Waiting (For Me)
13317113,Lykke Li,U Got It Bad - Recorded at Spotify Studios Stockholm
13317114,Aretha Franklin,Rock Steady
13317115,Aretha Franklin,Rolling In the Deep (The Aretha Version)
13317118,Aretha Franklin,"Baby, I Love You"
13317119,Aretha Franklin,Son of a Preacher Man
13317120,Vampire Weekend,California English Pt. 2
13511004,Katherine Ho,Yellow
13511013,Kina Grannis,Can’t Help Falling in Love
13511027,"Gringo, 6ix9ine",GIGI (ZKITTLEZ)
13511030,Anna of the North,Lovers
13511034,John Gurney,Home With Her
13511038,"Sigala, The Vamps",We Don't Care
13511045,FISHER,Losing It
13511046,"Ozuna, Manuel Turizo",Vaina Loca
13511047,JST FRNDS,All Night Long
13511050,Why Don't We,8 Letters
13511051,lovelytheband,broken
12924716,Ali Gatie,Moonlight
12924717,DJ Seven,Sax to Me
12924722,The Strike,Human Right
12924732,Logan Mize,Better Off Gone
12924736,MadeinTYO,Ned Flanders (feat. A$AP Ferg)
12924744,Doja Cat,Go To Town
12924747,George Ezra,Shotgun
12924750,P-Lo,same squad
13068839,ASHS,More Than Friends
13068840,Junior J,Back In Your Heart
13068853,Ximena Sariñana,¿Qué Tiene?
13068854,Mac Miller,Come Back to Earth
13068858,Jubël,Dancing In The Moonlight (feat. NEIMY)
13068860,CharlestheFirst,Mercy Falls
13068863,Mac Miller,2009
13068867,Aaron Smith,Dancin - Krono Remix (Extended)
13265219,"Marshmello, Bastille",Happier
13265230,"Calvin Harris, Jessie Reyez",Promises (with Sam Smith)
13265233,Aminé,REEL IT IN
13259591,"Captain Cuts, Zookëper, Georgia Ku",Do You Think About Me
13259592,YBN Almighty Jay,2 Tone Drip
13259597,"Julien Baker, Phoebe Bridgers, Lucy Dacus, boygenius",Me & My Dog
13259599,Mustard,Dangerous World (feat. Travis Scott & YG)
13259601,Armin van Buuren,Blah Blah Blah
13259604,Mac Miller,Wings
13259605,Mac Miller,Dunno
13259606,6LACK,Nonchalant
13482015,"GASHI, French Montana, DJ Snake",Creep On Me
13482018,half•alive,still feel.
13482026,Cub Sport,Hawaiian Party
13482030,"Jason Derulo, David Guetta",Goodbye (feat. Nicki Minaj & Willy William)
13482031,Bas,Tribe (with J. Cole)
13482039,Hippo Campus,Bambi
13482040,"Black Coffee, David Guetta",Drive (feat. Delilah Montagu) - Edit
13482042,Uncle Murda,"Get The Strap (feat. Casanova, 6ix9ine & 50 Cent)"
13482045,Young the Giant,Superposition
13482049,"Nick Jonas, Robin Schulz",Right Now
13482051,"Saweetie, London On Da Track",Up Now (feat. G-Eazy and Rich The Kid)
13482055,The Story So Far,Upside Down
13482056,Jamie Drake,Everything's Fine
13482058,"BTS, Nicki Minaj",IDOL
13652030,Doja Cat,MOOO!
13652034,"Pacho El Antifeka, Daddy Yankee, Bad Bunny",Como Soy
13652037,Seth Cook,Show 'Em How It's Done
13652038,"Sivas, NODE, Gilli",Oui
13652039,Teddy Robb,Lead Me On
13652042,tobi lou,Buff Baby
13653018,Ryan Hurd,To a T
13653020,"No Rome, The 1975",Narcissist
13653024,"Tom Staar, Eddie Thoneick",Otherside
13653032,"Reik, Maluma",Amigos Con Derechos
13653033,"6ix9ine, Anuel AA",BEBE
13653034,Comethazine,Walk
13653038,Elevation Worship,Here Again
13653040,"Loud Luxury, anders",Love No More
13653042,Walker Hayes,90's Country
13653048,Elevation Worship,Echo (feat. Tauren Wells)
13063953,"Silk City, Diplo, Mark Ronson",Electricity (with Dua Lipa)
13063955,Kanye West,I Love It (& Lil Pump)
13063957,Shannon Purser,Sunflower - Movie Version
13063962,Brynn Elliott,Might Not Like Me
13063965,Lauren Daigle,Rescue
13063968,Dansu,Don't You Give Up
13063972,Mereba,Black Truck
13063973,Girls' Generation-Oh!GG,Lil’ Touch
13063980,Jeremy Zucker,comethru
13063981,T.I.,Jefe (feat. Meek Mill)
13063985,Lauren Daigle,Look Up Child
13063987,Russ,Missin You Crazy
13070908,Lauren Daigle,Turn Your Eyes Upon Jesus
13070909,Dua Lipa,Want To
13070913,"Rvssian, Farruko, J Balvin",Ponle
13070914,"Shoreline Mafia, Rob Vicious","Bands (feat. OhGeesy, Fenix Flexin & Master Kato)"
13240339,Dr Stiig,Spooky Scary Skeletons (Remix)
13240345,"Gucci Mane, Bruno Mars, Kodak Black",Wake Up in the Sky
13240347,Lennon Stella,Bad
13240361,Asiahn,NOLA
13240370,Henyao,Coffee And Unicorns
13240380,Kyle Mitchell,One in Georgia
13240384,"Zack Knight, Jasmin Walia",Bom Diggy
13240387,"David Guetta, Bebe Rexha, J Balvin",Say My Name
13414980,Justin Roberts,6 Figures
13414986,"Lil Peep, XXXTENTACION",Falling Down - Bonus Track
13414991,Rita Ora,Let You Love Me
13414996,JID,151 Rum
13418233,Kenny Man,Ni Gucci Ni Prada
13418234,Kevin Roldan,PPP
13418235,"Dinah Jane, Ty Dolla $ign, Marc E. Bassy",Bottled Up
13418238,DaVido,Fall
13418248,Noah Kahan,False Confidence
13418252,Devault,Nothing But You (feat. Donnie Sloan & Ricky Ducati)
13616433,DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)"
13616436,"Vladimir Cauchemar, 6ix9ine",Aulos Reloaded
13616442,Lauv,There's No Way (feat. Julia Michaels)
13616445,"Andrea Bocelli, Matteo Bocelli",Fall On Me
13616446,"Marc Anthony, Will Smith, Bad Bunny",Está Rico
13616448,"BRKLYN, Zack Martino",Good Vibe
13616452,"Shawn Mendes, Zedd",Lost In Japan - Remix
13616456,Robyn,Honey
13616466,Young Thug,Sin (feat. Jaden Smith)
13616470,"Lil Wayne, Swizz Beatz",Uproar
13615544,Andrew Gold,"Spooky, Scary Skeletons"
13615546,"Phantoms, Vanessa Hudgens",Lay With Me
13615549,Billy Currington,Bring It On Over
13383090,"Lady Gaga, Bradley Cooper",Shallow
13383096,Bradley Cooper,Black Eyes
13383100,Marilyn Manson,This Is Halloween
13383103,Young Greatness,Moolah
13383105,Lil Baby,"Never Recover (Lil Baby & Gunna, Drake)"
13383107,Ministry,Everyday Is Like Halloween
13383109,"Charli XCX, Troye Sivan",1999
13383111,Classics IV,Spooky
13383113,"Lalo Ebratt, J Balvin, Trapical",Mocca - Remix
13383114,"Lady Gaga, Bradley Cooper",I'll Never Love Again - Film Version - Radio Edit
13383115,Richard Swift,Broken Finger Blues
13383116,"Pedro Capó, Farruko",Calma - Remix
13383118,"Pressa, Lil Uzi Vert, Murda Beatz",420 in London
13383119,Lil Baby,Drip Too Hard (Lil Baby & Gunna)
13383122,Sheb Wooley,The Purple People Eater
13383124,Bradley Cooper,Out Of Time
13383126,Jack & Jack,No One Compares To You
13383127,Lady Gaga,I'll Never Love Again - Extended Version
13383129,Bradley Cooper,Alibi
13383132,Cliff Richard,Devil Woman - 2001 Remaster
13496718,Maggie Rogers,Light On
13496719,Kodak Black,ZEZE (feat. Travis Scott & Offset)
13496720,Bad Bunny,MIA (feat. Drake)
13496722,Free Nationals,Beauty & Essex (feat. Daniel Caesar & Unknown Mortal Orchestra)
13496725,QUIX,Giving Up (feat. Jaden Michaels)
13496729,Camila Cabello,Consequences - orchestra
13496733,The Glorious Sons,S.O.S. (Sawed Off Shotgun)
13496735,THEY.,What I Know Now (feat. Wiz Khalifa)
13496747,Jess Glynne,Thursday
13496748,Anderson .Paak,Tints (feat. Kendrick Lamar)
13496756,Queen,Love Of My Life - Remastered 2011
13496758,Christian Leave,Please Notice
13496759,Kash Doll,Ice Me Out
13496760,IU,BBIBBI
13496761,CJ Solar,American Girls
13496763,"Mau y Ricky, Manuel Turizo, Camilo",Desconocidos
13654391,Dominic Fike,3 Nights
13654394,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse
13654405,Adam Hambrick,Rockin' All Night Long
13654407,James Arthur,Empty Space
13654415,Daniel Caesar,Who Hurt You?
13654416,Khalid,Suncity (feat. Empress Of)
13654417,Peter Manos,In My Head
13654418,"Dua Lipa, BLACKPINK",Kiss and Make Up
13654426,Lennon Stella,Breakaway
13654429,"RL Grime, 24hrs",UCLA
13654433,Dermot Kennedy,Power Over Me
13654438,"Future, Juice WRLD",Fine China
13654439,RÜFÜS DU SOL,Treat You Better
14157220,Dear Silas,Skrr Skrr
14157223,Brandon Ratcliff,Rules of Breaking Up
14157226,Ellie Goulding,Close To Me (with Diplo) (feat. Swae Lee)
14157227,Lil Tjay,Brothers
14157231,Willow Sage Hart,A Million Dreams - Reprise
14157236,"XXXTENTACION, Lil Pump",Arms Around You (feat. Maluma & Swae Lee)
14157237,"Kygo, Sandro Cavazza",Happy Now
14157240,Lauren Jauregui,Expectations
14157247,Lucky Daye,Roll Some Mo
14157257,Noah Schnacky,Maybe We Will
14157258,Tory Lanez,FeRRis WhEEL (feat. Trippie Redd)
14157261,Cameron Dallas,Why Haven't I Met You?
14157267,"C. Tangana, Becky G",Booty
13360913,"K/DA, Madison Beer, (G)I-DLE, Jaira Burns, League of Legends",POP/STARS
13360920,Eearz,"Kill 'Em With Success (with ScHoolboy Q, 2 Chainz & Mike WiLL Made-It) - From ""Creed II: The Album"""
13360923,Takeoff,Casper
13360925,Paulo Londra,Adan y Eva
13360926,IZ*ONE,La Vie en Rose
13360928,"Anuel AA, Romeo Santos",Ella Quiere Beber - Remix
13360935,"The Gregory Brothers, TomSka",The Muffin Song (asdfmovie)
13360940,"NOTD, Felix Jaehn, Captain Cuts, Georgia Ku",So Close
13360942,Des Rocs,Used to the Darkness
13360943,The 1975,It's Not Living (If It's Not With You)
13360947,benny blanco,I Found You (with Calvin Harris)
13360949,Blueface,Respect My Cryppin'
13360951,TWICE,YES or YES
13360955,Blueface,Next Big Thing
13360956,The 1975,Sincerity Is Scary
13549137,Amnesty,Liberty
13549139,"Party in Backyard, pewdiepie",Bitch Lasagna
13549146,Cenji,Sunday Candy
13549147,Surfaces,24 / 7 / 365
13549151,Shag Rock,Sunbleached Girl
13549153,vanta blvck,Waiting
13549155,Metro Boomin,10 Freaky Girls (with 21 Savage)
13549157,Rambutan Jam Band,Doing What They Taught Us
13550162,JOBA,Sad Saturdays
13550167,Dijon,Skin
13550169,Conan Gray,Crush Culture
13550173,Ice Cube,Arrest The President
13550175,Metro Boomin,Don't Come Out The House (with 21 Savage)
13550176,Khalid,Saturday Nights
13550183,BRIDGE,Lord Knows
13550187,"Trippie Redd, Juice WRLD",1400 / 999 Freestyle
13717957,Rei,Good Mood
13717964,Blackway,What's Up Danger (with Black Caviar)
13717970,"Midnight Quickie, Matter Mos",Summer Love
13717977,"Zak Downtown, NEM",A Plus
13717978,Jelani Aryeh,Where We Go
13717981,Ari Lennox,Shea Butter Baby (with J. Cole)
13717984,Surfaces,Loving
13717986,Lennon Stella,La Di Da
13719892,Surfaces,Heaven Falls / Fall on Me
13719895,James Arthur,Rewrite The Stars (with James Arthur & Anne-Marie)
13719901,Maikel Delacalle,Replay
13719902,Samson,Collide
13719903,Blueface,Dead Locs
13841411,Blueface,Respect My Cryppin’
13841415,Anderson .Paak,Linus & Lucy - Recorded at Spotify Studios NYC
13841419,Aminé,REEL IT IN (feat. Gucci Mane) - Remix
13841425,"Tiny Meat Gang, Spock",Stay Safe
13841427,Teyana Taylor,"Gonna Love Me (feat. Ghostface Killah, Method Man & Raekwon) - Remix"
13841437,J Balvin,Reggaeton
13841442,Ocho Drippin,Fuck It Up!
13980200,Small Town Titans,"You're a Mean One, Mr. Grinch"
13980203,SLATIN,Apple Juice (feat. Carla Monroe) - MOTi Remix
13980209,Emily Blunt,"The Place Where Lost Things Go - From ""Mary Poppins Returns"""
13980212,Ski Mask The Slump God,Nuketown (feat. Juice WRLD)
13980222,Travis Scott,SICKO MODE - Skrillex Remix
13980227,"Gustav Holst, Sheku Kanneh-Mason, Isata Kanneh-Mason",In the Bleak Midwinter (Arr. Kanneh-Mason)
13980231,Halsey,Without Me - ILLENIUM Remix
13980234,Tory Lanez,TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix
13980242,"Nacho, Manuel Turizo",Déjalo
13980244,"6ix9ine, Tory Lanez",KIKA
13572179,"Emily Blunt, Lin-Manuel Miranda, Company - Mary Poppins Returns",A Cover Is Not the Book
13572182,benny blanco,Roses (with Juice WRLD feat. Brendon Urie)
13572184,"Emily Blunt, Pixie Davies, Joel Dawson, Nathanael Saleh",Can You Imagine That?
13572186,Stephen Puth,Sexual Vibe
13572188,"Seeb, Bastille",Grip
13572189,Still Woozy,Habit
13572201,"Marshmello, Roddy Ricch",Project Dreams
13572202,"Lunay, Lyanno, Anuel AA, Brytiago, Alex Rose",A Solas - Remix
13572203,Hillsong UNITED,Good Grace - Live
13572207,Breakbot,Baby I'm Yours (feat. Irfane)
13572208,Polo & Pan,Nanã
13572209,Stafford Brothers,KNOCK
13720825,Trevor Daniel,Falling (blackbear Remix)
13720826,"Duckwrth, Shaboozey",Start a Riot
13720829,Beau Young Prince,Let Go
13720831,DJ Khalil,"Elevate (feat. Denzel Curry, YBN Cordae, SwaVay, Trevor Rich)"
13720836,Cigarettes After Sex,Neon Moon
13720839,"The Chainsmokers, Winona Oak",Hope
13720850,Skylar Grey,Everything I Need (From Aquaman: Original Motion Picture Soundtrack) - Film Version
13720851,Yung Gravy,Alley Oop (feat. Lil Baby)
13720853,ZAYN,There You Are
13720855,Kid Ink,YUSO (feat. Lil Wayne & Saweetie)
13959693,"Mark Morton, Chester Bennington",Cross Off
13959700,A Boogie Wit da Hoodie,Look Back at It
13959701,"420 Unlovable, Splash Daddy, Okthxbb",Wii Tennis
13959702,21 Savage,a lot
13959704,21 Savage,monster
13959712,"Only The Family, Lil Durk",No Auto Durk
13959715,SHAUN,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit
13959716,A Boogie Wit da Hoodie,Startender (feat. Offset and Tyga)
13959720,"Adam K, Soha",Twilight vs Breathe (feat. HALIENE & Matthew Steeper)
13959724,"Emma Sameth, WOLFE",Spin With You (feat. Jeremy Zucker)
13959725,Sam Smith,"Fire On Fire - From ""Watership Down"""
13959730,Oliver Tree,Hurt
13959736,Jordan Brooker,Life in Your Days
13959737,A Boogie Wit da Hoodie,Demons and Angels (feat. Juice WRLD)
13959738,Samm Henshaw,Broke
13959740,"Piso 21, Micro TDH",Te Vi
13959742,"Amenazzy, Nicky Jam, Farruko",Baby
14169886,Cosmo Sheldrake,Come Along
14169890,Aaron Smith,Dancin (feat. Luvli) - Krono Remix
14169891,Tenille Arts,I Hate This
14169900,"Kvngshad, Trippie Redd",Fuck The Other Side
14169902,Princess Nokia,Mine
14169919,Paloma Mami,No Te Enamores
14169927,DaBaby,Next Song
14169930,Ruben,Lay By Me
14169931,Hikaru Utada,Don't Think Twice
13566399,Ncredible Gang,"NoBody Else (feat. Nick Cannon, Ty Dolla $ign & Jacquees)"
13566401,Hillsong UNITED,Whole Heart (Hold Me Now) - Live
13566409,5 Seconds of Summer,Lie To Me (feat. Julia Michaels)
13566416,James Ingram,Just Once - New Version
13566417,Sabrina Carpenter,Sue Me
13566418,Ozuna,Baila Baila Baila
13566432,CHUNG HA,Gotta Go
13566433,Daddy's Groove,Bvulgari
13773191,Baseball Hockey Sports Crew,Sweet Victory
13773195,"Gesaffelstein, The Weeknd",Lost in the Fire
13773197,Sam Smith,Dancing With A Stranger (with Normani)
13773215,Vincent Brahn,Monita
13773216,Adam Doleac,Famous
13773225,Rico Love,Fight for You
13773226,Calvin Harris,Giant (with Rag'n'Bone Man)
13773228,Chad Brownlee,Forever's Gotta Start Somewhere
13773235,Catfish and the Bottlemen,Longshot
13917430,Mustard,Pure Water (with Migos)
13917435,"Hikaru Utada, Skrillex",Face My Fears (English Version)
13917437,"The Rudeboyz, Jowell & Randy, Manuel Turizo",Dile la Verdad
13917440,"Anuel AA, KAROL G",Secreto
13917446,Hozier,Almost (Sweet Music)
13917447,Brandi Carlile,The Joke
13917450,Drax Project,Woke Up Late (feat. Hailee Steinfeld)
13917451,H.E.R.,Hard Place
13917456,Kacey Musgraves,Golden Hour
13917457,Dillon Francis,Catchy Song (feat. T-Pain & That Girl Lay Lay) [From The LEGO® Movie 2: The Second Part - Original Motion Picture Soundtrack]
13917459,"JTres, LEGADO 7, Fuerza Regida",El 7 De Fontana
13917460,Samm Henshaw,Church (feat. EARTHGANG)
13917465,Why Don't We,Big Plans
13917466,"Sebastian Yatra, Reik",Un Año
13917472,James TW,You & Me
14043704,"Lauv, Troye Sivan",i'm so tired...
14043706,"Daddy Yankee, Snow",Con Calma
14043707,Lil Nas X,Old Town Road
14043708,"STEPHAN, Current Blue",Daytrip
14043716,Gerard Way,Hazy Shade of Winter (feat. Ray Toro)
14043722,"Rauw Alejandro, Nicky Jam",Que Le De
14043723,"GASHI, G-Eazy",My Year
14043725,"Bethel Music, Jonathan David Helser, Melissa Helser",Raise a Hallelujah (Live)
14043732,Julia Michaels,Anxiety (with Selena Gomez)
14043741,James Blake,Mile High (feat. Travis Scott & Metro Boomin)
13589768,why mona,Wannabe
13589779,"Melanie Faye, Mac DeMarco",Eternally 12
13589783,Jonas Brothers,Burnin' Up
13589786,"Ty James, unheard",Splash
13589789,Absofacto,Dissolve
13589790,Polo G,Pop Out (feat. Lil Tjay)
13589794,Jonas Brothers,Lovebug
13589797,"ChocQuibTown, Zion & Lennox, Farruko",Pa Olvidarte (feat. Manuel Turizo) - Remix
13589799,Lil Peep,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy)
13589800,Jonas Brothers,Year 3000
13589801,Ouska,Alive
13589806,Cavetown,Boys Will Be Bugs
13589810,Galantis,Bones (feat. OneRepublic)
13589811,AJR,100 Bad Days
13589812,Jonas Brothers,S.O.S.
13589814,James Barker Band,Keep It Simple
13777626,Guaynaa,Rebota
13777629,"Khalid, Disclosure",Talk
13777635,"Dalex, Rafa Pabön, KHEA, Sech, Cazzu, Feid, Lenny Tavárez",Pa Mí - Remix
13777641,24kGoldn,VALENTINO
13777646,"The Chainsmokers, 5 Seconds of Summer",Who Do You Love
13777653,The Prodigy,Firestarter
13777655,AUSTN,In Betweenin'
13777656,DaBaby,Walker Texas Ranger
13777657,The Prodigy,Breathe
13777663,"Wisin & Yandel, Romeo Santos",Aullando
13777664,Jonas Brothers,When You Look Me In The Eyes
13900846,"Wiley, Stefflon Don, Sean Paul",Boasty (feat. Idris Elba)
13900857,"Cardi B, Bruno Mars",Please Me
13900858,YUNGBLUD,11 Minutes (with Halsey feat. Travis Barker)
13900859,Hwa Sa,TWIT
13900865,Gaullin,Moonlight
13900867,Netsky,I Don’t Even Know You Anymore (feat. Bazzi & Lil Wayne)
13900873,"Manuel Turizo, Ozuna",Esclavo de Tus Besos
13900879,Lil West,Not Sure
13900882,Andy Grammer,"Don't Give Up On Me - (From ""Five Feet Apart"")"
13900883,Jack Stauber,Buttercup
13900886,Dennis Lloyd,Never Go Back
13900888,QUIN,MUSHROOM CHOCOLATE (with 6LACK)
14004916,Quin Nfn,Talkin' My Shit
14004922,Steven Furtick,I Can Handle It
14004932,Ray Fulcher,Anything Like You Dance
14004937,"Tropkillaz, J Balvin, Anitta, Mc Zaac",Bola Rebola
14004938,Blueface,"Thotiana (feat. Cardi B, YG) [Remix]"
14004941,Megan Thee Stallion,Freak Nasty
14004944,Kiana Ledé,EX
14004954,Dick Dale and his Del-Tones,Miserlou
14004955,"Lunay, Chris Jedi, Gaby Music",Soltera
14004957,James Bay,Peer Pressure (feat. Julia Michaels)
14239555,Billie Eilish,wish you were gay
